,,,,,,,,,,,,,,,
,Rank,First name,Last Name,Code,#,P1,P2,P3,P4,P5,P6,P7,P8,Sum,Prize
,1,Margulan,Sharel,KAZ,1,7,7,2,7,7,7,7,0,44,Gold
,1,Damjan,Davkov,MKD,1,7,7,2,7,7,7,7,0,44,Gold
,3,Oleksandr,Horbunov,UKR A,1,7,7,2,5,7,7,7,0,42,Gold
,4,Ostap,Hishchak,UKR A,2,7,7,2,2,7,7,7,0,39,Gold
,4,Volodymyr,Pryhunov,UKR A,3,7,7,2,2,7,7,7,0,39,Gold
,6,Eldar,Ussenov,KAZ,2,7,7,2,0,7,7,7,0,37,Gold
,7,Sandro,Zhgenti,GEO,2,7,7,2,2,7,4,7,0,36,Gold
,8,Aleksandar,Pendov,BGR,4,7,7,2,2,7,2,7,0,34,Gold
,8,Kyrill,Rovinsky,FRA,5,7,7,2,0,7,2,7,2,34,Gold
,10,George,Nikolov,BGR,2,7,1,2,4,7,7,5,0,33,Gold
,10,ERIK,LIM,KAZ,4,7,7,2,2,1,7,7,0,33,Gold
,12,Aleksandar,Bangachev,BGR,1,7,7,2,7,7,2,0,0,32,Silver
,12,Mariia,Akimova,FIN,1,7,1,3,0,7,7,7,0,32,Silver
,12,Yerassyl,Altynbek,KAZ,6,7,7,2,0,7,2,7,0,32,Silver
,12,Arijus,Paulavičius,LTU A,5,7,7,2,0,7,3,6,0,32,Silver
,12,Emil,Spiess,SUI,6,7,7,2,0,7,2,7,0,32,Silver
,17,Irakli,Sherozia,GEO,5,7,7,3,2,7,2,3,0,31,Silver
,17,Hongjia,Meng,SUI,2,7,7,1,0,7,2,7,0,31,Silver
,19,Daniel,Getov,BGR,6,7,7,2,0,7,7,0,0,30,Silver
,19,Gustavs,Gritāns,LVA,2,7,7,0,2,7,7,0,0,30,Silver
,19,Taras,Vuk,SVN,6,7,7,2,0,7,7,0,0,30,Silver
,22,Antoine,Saez Dumas,FRA,6,7,2,4,0,7,7,2,0,29,Silver
,22,Anuar,Agybayev,KAZ,3,7,7,2,2,7,4,0,0,29,Silver
,22,Ivano,Bozhinovski,MKD,3,7,7,2,0,7,2,4,0,29,Silver
,25,Arman,Asatryan,ARM,3,7,7,0,0,7,7,0,0,28,Silver
,25,Kiril,Zulyamski,BGR,3,7,7,3,0,7,4,0,0,28,Silver
,25,Matteo,Argentin,FRA,1,7,7,2,0,7,4,1,0,28,Silver
,25,Mirza,Shanidze,GEO,1,7,7,0,0,5,2,7,0,28,Silver
,25,Giorgi,Gumberidze,GEO,3,7,7,0,2,7,1,4,0,28,Silver
,30,Itza,Hervé--Arrouays,FRA,3,7,7,2,0,7,4,0,0,27,Silver
,30,Petr,Shvab,LVA,3,7,7,0,0,7,6,0,0,27,Silver
,30,Justin,Jia,NOR,3,4,7,2,0,6,7,1,0,27,Silver
,30,Jan,Ząbkiewicz,POL,2,7,7,2,0,7,4,0,0,27,Silver
,30,Mateusz,Miernik,POL,3,7,7,2,0,7,4,0,0,27,Silver
,35,Sargis,Arakelyan,ARM,2,7,7,3,0,7,2,0,0,26,Bronze
,35,Hayk,Manukyan,ARM,4,7,7,3,0,7,2,0,0,26,Bronze
,35,Marin,Renaudineau,FRA,4,6,7,0,0,7,6,0,0,26,Bronze
,35,Jakub,Świcarz,POL,4,7,2,1,2,7,7,0,0,26,Bronze
,35,Ivan,Kharchuk,UKR A,4,7,4,1,0,7,7,0,0,26,Bronze
,35,Daniil,Gribuks,UKR B,1,7,4,2,0,6,7,0,0,26,Bronze
,41,Marius,Gjika,ALB,1,7,7,0,0,7,4,0,0,25,Bronze
,41,Mikko,Ylinen,FIN,6,6,2,2,0,7,7,1,0,25,Bronze
,41,Malone,Heim,FRA,2,7,7,2,0,7,2,0,0,25,Bronze
,41,Robertas,Juknevičius,LTU A,2,7,7,1,0,7,2,1,0,25,Bronze
,41,Ēriks Ariels,Šulzingers,LVA,5,7,7,0,2,7,2,0,0,25,Bronze
,41,Volodymyr,Gryn,UKR A,5,7,7,2,0,7,2,0,0,25,Bronze
,47,Tigran,Akheyan,ARM,1,7,7,0,0,7,2,1,0,24,Bronze
,47,Aren,Grigoryan,ARM,6,7,7,1,0,5,4,0,0,24,Bronze
,47,Pijus,Piekus,LTU A,6,7,1,2,0,7,7,0,0,24,Bronze
,47,Reinis,Bartkevičs,LVA,1,7,7,2,0,7,1,0,0,24,Bronze
,47,Daniel,Mineev,NOR,2,7,7,0,0,5,2,3,0,24,Bronze
,52,Arman,Khachatryan,ARM,5,6,7,0,0,7,0,3,0,23,Bronze
,52,Ohto,Katila,FIN,4,7,0,0,2,7,7,0,0,23,Bronze
,52,Ajan,Hajrullahu,KSV,1,5,7,0,0,7,2,2,0,23,Bronze
,52,Vsevolods,Ščadilovs,LVA,4,7,5,0,0,5,6,0,0,23,Bronze
,52,Leonid,Todoroski,MKD,5,6,7,0,1,6,3,0,0,23,Bronze
,52,Wojciech,Kisała,POL,1,6,0,1,0,7,7,2,0,23,Bronze
,52,Stanisław,Mocny,POL,5,7,0,2,0,7,7,0,0,23,Bronze
,52,Andrej,Ševera,SUI,1,7,2,3,2,7,2,0,0,23,Bronze
,52,Dmytro,Smohol,UKR A,6,7,0,0,0,7,2,7,0,23,Bronze
,61,Adam,Bürmen,SVN,1,7,1,2,1,7,4,0,0,22,Bronze
,61,Anna-Mariia,Kuzan,UKR B,6,7,4,1,0,7,0,3,0,22,Bronze
,63,Anton Vytautas,Liutvinas,LTU A,4,5,4,0,0,4,1,7,0,21,HM
,64,Dobromir,Dobrev,BGR,5,7,1,2,0,7,2,1,0,20,HM
,64,Elliot Rosquist,Tofteberg,NOR,6,7,0,2,0,7,4,0,0,20,HM
,66,Kristofer,Torokoff,EST,5,7,0,2,0,7,3,0,0,19,HM
,66,Ben,Maguire,IRL,2,7,1,3,0,6,2,0,0,19,HM
,66,Augustas,Kerys,LTU A,3,7,1,0,0,7,4,0,0,19,HM
,66,Ivar Lee,Fevang,NOR,1,7,1,2,0,7,2,0,0,19,HM
,66,Victoria Lund,Søraas,NOR,5,7,0,1,0,7,4,0,0,19,HM
,66,Stanisław,Kozłowski,POL,6,7,1,2,0,7,2,0,0,19,HM
,66,Vladyslav,Babiy,SUI,4,7,1,2,0,7,2,0,0,19,HM
,66,Andraž,Čadež,SVN,2,7,1,2,0,7,2,0,0,19,HM
,66,Martin Alojz,Flisar,SVN,3,7,1,2,0,7,2,0,0,19,HM
,66,Primož,Markovič,SVN,5,7,1,2,0,7,2,0,0,19,HM
,76,Hendrik,Jaska,EST,1,7,1,1,0,7,2,0,0,18,HM
,76,Jasper,Vähk,EST,2,7,1,1,0,7,2,0,0,18,HM
,76,Iliyas,Ashken,KAZ,5,7,4,0,0,5,2,0,0,18,HM
,76,Rugilė,Dzindzalietaitė,LTU A,1,7,1,0,0,7,2,1,0,18,HM
,76,Adomas,Juodis,LTU B,2,7,0,0,0,7,4,0,0,18,HM
,76,Luka,Vladimirovs,LVA,6,7,0,0,0,7,4,0,0,18,HM
,76,Marko,Mitevski,MKD,2,6,4,0,0,6,2,0,0,18,
,76,Pavlo,Verbytskyi,UKR B,3,7,1,2,0,7,1,0,0,18,HM
,76,Nazar,Khomiak,UKR B,4,7,0,2,0,7,2,0,0,18,HM
,85,Amelie,Hao,FIN,3,7,1,0,0,7,2,0,0,17,HM
,85,Rati,Ratiani,GEO,4,6,2,0,0,7,2,0,0,17,HM
,85,Lyron,Celina,KSV,2,7,0,0,0,7,2,1,0,17,HM
,85,Ahmed,Benamara,LTU B,3,7,1,0,0,6,3,0,0,17,HM
,85,Karolis,Gavėnavičius,LTU B,6,7,1,0,0,7,1,1,0,17,HM
,85,Trygve Torkildsen,Hellebø,NOR,4,7,0,2,0,7,1,0,0,17,HM
,85,Eric,Lüscher,SUI,3,7,0,1,0,7,2,0,0,17,HM
,85,Myriam,Faltin,SUI,5,7,1,0,0,7,2,0,0,17,HM
,93,Augustas,Kurlavičius,LTU B,1,7,0,2,0,5,2,0,0,16,HM
,93,Vilius,Vitas,LTU B,4,7,0,1,0,7,1,0,0,16,HM
,95,Artjom,Tolmachev,EST,3,7,0,0,0,7,1,0,0,15,HM
,95,Kaius,Hansen,FIN,2,6,0,2,0,4,3,0,0,15,
,95,Aleksandre,Katsia,GEO,6,7,1,0,0,5,2,0,0,15,HM
,95,Itamar,Shoor,IRL,3,7,1,0,0,7,0,0,0,15,HM
,95,Magnús Thor,Holloway,ISL,3,7,1,0,0,6,1,0,0,15,HM
,95,Andrii,Atamanenko,UKR B,5,7,0,0,0,7,1,0,0,15,HM
,101,Jamarbër,Rushitaj,ALB,2,7,2,0,0,3,2,0,0,14,HM
,101,Ralf,Maapalu,EST,4,6,0,1,0,5,2,0,0,14,
,101,Yanchu,Dai,IRL,6,7,0,1,0,4,2,0,0,14,HM
,104,Jack,McAuliffe,IRL,1,3,0,2,0,7,1,0,0,13,HM
,104,Andrej,Tasikj,MKD,4,5,0,0,0,6,2,0,0,13,
,104,Yehor,Vara,UKR B,2,7,1,1,0,1,3,0,0,13,HM
,107,Domantas,Sruogis,LTU B,5,5,1,0,0,5,1,0,0,12,
,108,Vesa,Xhymshiti,KSV,3,7,0,0,0,3,1,0,0,11,HM
,109,Sigi,Zalla,ALB,3,5,0,0,0,5,0,0,0,10,
,109,Benjamin,Liu,IRL,5,3,0,0,0,6,1,0,0,10,
,111,Kasian,Kruptsev,EST,6,7,0,1,0,0,1,0,0,9,HM
,111,Daði,Logason,ISL,1,7,0,0,0,1,1,0,0,9,HM
,111,Þorsteinn,Snæland,ISL,4,7,0,1,0,0,1,0,0,9,HM
,114,Shpendi,Deva,KSV,5,6,1,0,0,1,0,0,0,8,
,115,Nicole,Cheng,IRL,4,4,1,0,0,1,1,0,0,7,
,115,Ari,Juniku,KSV,4,5,1,0,0,1,0,0,0,7,
,115,Tisa,Lombar,SVN,4,3,0,0,0,2,2,0,0,7,
,118,Orest,Sherko,ALB,4,3,1,0,0,2,0,0,0,6,
,118,Darli,Bruzja,ALB,6,4,1,0,0,1,0,0,0,6,
,118,Elvar,Magnússon,ISL,2,3,0,0,0,1,2,0,0,6,
,121,Maksim,Mozolevskii,FIN,5,5,0,0,0,0,0,0,0,5,
,121,Lekë,Nikçi,KSV,6,3,1,0,0,1,0,0,0,5,
,121,Filip,Djambaski,MKD,6,2,0,0,0,2,1,0,0,5,
,124,Noel,Kolemarko,ALB,5,3,0,0,0,0,0,0,0,3,
